idCliente,nombreProducto
66a1b3b8cb3b8b3a2d36f89d,Enchiladas Verdes
66a57b8bcd8b3b3a4b9af0cb,MOLE ROJO DE POLLO
66a4a3b8cc8b3b3a4a89fbfa,Pozole verde Huasteco
669c9052d4514111b8608fd9,Filete de Tilapia
66b2fb8be28b3b3a61b0f830,Ceviche Huasteco
66ae3b8bda8b3b3a5939fea8,Mole Rojo de Cerdo
65f40c9590f4191147e0de75,Pozole verde Huasteco
66a8fb8bd28b3b3a50b1f620,Quesadillas Doradas
66a6fb8bcf8b3b3a4d9cf2ed,Empanadas Huastecas
66b03b8bdd8b3b3a5c6cf2db,Enchiladas Verdes
66ab7b8bd68b3b3a54f5fa64,PASTEL DE CHOCOLATE
66a315b8ca8b3b3a3d58f8cd,Quesadillas de Pastor
65f40c9590f4191147e0de75,Empanadas Huastecas
66a7b3b8d08b3b3a4e9df3fe,Pozole verde Huasteco
65f40c9590f4191147e0de75,Quesadillas de Pastor
6620cbbc1ce322dceee6e6af,Mole Rojo de Cerdo
66b4fb8be68b3b3a65f4fc74,Filete de Mojarra
66a20f5a6e3e1e33a3c07aab,Quesadillas de Pastor
66a15d7bca6b3b3a2c25f78c,Mole Rojo de Cerdo
66b47b8be58b3b3a64e3fb63,Quesadillas de Bisteck
6620cbbc1ce322dceee6e6af,Ceviche Huasteco
65f4951934576f040eea04bd,PASTEL DE CHOCOLATE
6620cbbc1ce322dceee6e6af,Pozole verde Huasteco
66b3fb8be48b3b3a63d2fa52,Filete de Mojarra
66acfb8bd88b3b3a5717fc86,Quesadillas Doradas
65f4951934576f040eea04bd,Sopes de Bistec
66b4fb8be68b3b3a65f4fc74,Quesadillas Doradas
66a02bca5a6e1e33a1b074a4,Mole Rojo de Cerdo
65f40b8e90f4191147e0de6b,Quesadillas de Huitlacoche
66ad7b8bd98b3b3a5828fd97,MOLE ROJO DE POLLO
66b27b8be18b3b3a60aff71f,MOLE ROJO DE POLLO
66b37b8be38b3b3a62c1f941,Quesadillas de Huitlacoche
66b47b8be58b3b3a64e3fb63,Pozole verde Huasteco
